[2026-03-22 09:08:57] bot started | dry_run=True
[2026-03-22 09:12:32] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=148.579529 up=0.485 down=0.515
[2026-03-22 09:12:32] no signal | equity=100.00 cash=100.00
[2026-03-22 09:12:36] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=144.425142 up=0.485 down=0.515
[2026-03-22 09:12:36] no signal | equity=100.00 cash=100.00
[2026-03-22 09:12:40] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=140.535764 up=0.485 down=0.515
[2026-03-22 09:12:40] no signal | equity=100.00 cash=100.00
[2026-03-22 09:12:43] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=136.652481 up=0.485 down=0.515
[2026-03-22 09:12:43] no signal | equity=100.00 cash=100.00
[2026-03-22 09:12:47] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=132.770823 up=0.525 down=0.475
[2026-03-22 09:12:47] no signal | equity=100.00 cash=100.00
[2026-03-22 09:12:51] no entry | slug=btc-updown-5m-1774141800 reason=ofi_not_extreme_0.551 secs_left=128.873379 up=0.525 down=0.475
[2026-03-22 09:12:51] no signal | equity=100.00 cash=100.00
[2026-03-22 09:12:55] no entry | slug=btc-updown-5m-1774141800 reason=ofi_not_extreme_0.558 secs_left=125.003298 up=0.525 down=0.475
[2026-03-22 09:12:55] no signal | equity=100.00 cash=100.00
[2026-03-22 09:12:59] no entry | slug=btc-updown-5m-1774141800 reason=ofi_not_extreme_0.539 secs_left=121.121636 up=0.525 down=0.475
[2026-03-22 09:12:59] no signal | equity=100.00 cash=100.00
[2026-03-22 09:13:03] no entry | slug=btc-updown-5m-1774141800 reason=ofi_not_extreme_0.560 secs_left=117.235136 up=0.525 down=0.475
[2026-03-22 09:13:03] no signal | equity=100.00 cash=100.00
[2026-03-22 09:13:07] no entry | slug=btc-updown-5m-1774141800 reason=ofi_not_extreme_0.582 secs_left=113.369319 up=0.525 down=0.475
[2026-03-22 09:13:07] no signal | equity=100.00 cash=100.00
[2026-03-22 09:13:11] no entry | slug=btc-updown-5m-1774141800 reason=ofi_not_extreme_0.574 secs_left=109.47792 up=0.525 down=0.475
[2026-03-22 09:13:11] no signal | equity=100.00 cash=100.00
[2026-03-22 09:13:15] no entry | slug=btc-updown-5m-1774141800 reason=ofi_not_extreme_0.587 secs_left=105.59867 up=0.525 down=0.475
[2026-03-22 09:13:15] no signal | equity=100.00 cash=100.00
[2026-03-22 09:13:19] no entry | slug=btc-updown-5m-1774141800 reason=ofi_not_extreme_0.661 secs_left=101.721054 up=0.525 down=0.475
[2026-03-22 09:13:19] no signal | equity=100.00 cash=100.00
[2026-03-22 09:13:22] no entry | slug=btc-updown-5m-1774141800 reason=ofi_not_extreme_0.599 secs_left=97.649024 up=0.525 down=0.475
[2026-03-22 09:13:22] no signal | equity=100.00 cash=100.00
[2026-03-22 09:13:26] no entry | slug=btc-updown-5m-1774141800 reason=ofi_not_extreme_0.441 secs_left=93.687453 up=0.525 down=0.475
[2026-03-22 09:13:26] no signal | equity=100.00 cash=100.00
[2026-03-22 09:13:30] no entry | slug=btc-updown-5m-1774141800 reason=ofi_not_extreme_0.434 secs_left=89.797355 up=0.525 down=0.475
[2026-03-22 09:13:30] no signal | equity=100.00 cash=100.00
[2026-03-22 09:13:34] no entry | slug=btc-updown-5m-1774141800 reason=ofi_not_extreme_0.458 secs_left=85.915327 up=0.525 down=0.475
[2026-03-22 09:13:34] no signal | equity=100.00 cash=100.00
[2026-03-22 09:13:38] no entry | slug=btc-updown-5m-1774141800 reason=ofi_not_extreme_0.441 secs_left=82.034937 up=0.525 down=0.475
[2026-03-22 09:13:38] no signal | equity=100.00 cash=100.00
[2026-03-22 09:13:42] no entry | slug=btc-updown-5m-1774141800 reason=ofi_not_extreme_0.482 secs_left=78.135404 up=0.525 down=0.475
[2026-03-22 09:13:42] no signal | equity=100.00 cash=100.00
[2026-03-22 09:13:46] no entry | slug=btc-updown-5m-1774141800 reason=ofi_not_extreme_0.468 secs_left=74.208552 up=0.525 down=0.475
[2026-03-22 09:13:46] no signal | equity=100.00 cash=100.00
[2026-03-22 09:13:50] no entry | slug=btc-updown-5m-1774141800 reason=ofi_not_extreme_0.522 secs_left=70.326027 up=0.525 down=0.475
[2026-03-22 09:13:50] no signal | equity=100.00 cash=100.00
[2026-03-22 09:13:54] no entry | slug=btc-updown-5m-1774141800 reason=ofi_not_extreme_0.515 secs_left=66.36205 up=0.525 down=0.475
[2026-03-22 09:13:54] no signal | equity=100.00 cash=100.00
[2026-03-22 09:13:58] no entry | slug=btc-updown-5m-1774141800 reason=ofi_not_extreme_0.524 secs_left=62.478926 up=0.525 down=0.475
[2026-03-22 09:13:58] no signal | equity=100.00 cash=100.00
[2026-03-22 09:14:02] no entry | slug=btc-updown-5m-1774141800 reason=ofi_not_extreme_0.519 secs_left=58.610611 up=0.525 down=0.475
[2026-03-22 09:14:02] no signal | equity=100.00 cash=100.00
